Source,Year,Jurisdiction,Document Type,URL or DOI,Relevance to Project,Key Point,Security Issue,Privacy Issue,Governance Issue,Article Use,Category
Data Protection Act 2018 Schedule 1 / special categories of personal data (Legislation.gov.uk),2018,UK,Legislation,https://www.legislation.gov.uk/ukpga/2018/12/pdfs/ukpga_20180012_en.pdf,Especially relevant for health and social care processing conditions.,"Schedule 1 includes conditions covering health care, social care and management of care systems/services.",Safeguards around sensitive processing.,Health data condition in domestic law.,Appropriate policy and safeguards requirements.,Use to tie direct care sharing to domestic legal conditions.,Legal/regulatory
Special category data (ICO) (Information Commissioner's Office),N/A,UK,Regulatory guidance,https://ico.org.uk/for-organisations/uk-gdpr-guidance-and-resources/lawful-basis/a-guide-to-lawful-basis/special-category-data/,Clear practical guidance on handling health data lawfully.,Controllers need both an Article 6 lawful basis and a separate Article 9 condition.,Failure to structure lawful processing correctly.,Extra protection for health data.,Lawful-basis governance.,Use for practitioner-friendly legal interpretation.,Legal/regulatory
What are the conditions for processing? (ICO) (Information Commissioner's Office),N/A,UK,Regulatory guidance,https://ico.org.uk/for-organisations/uk-gdpr-guidance-and-resources/lawful-basis/special-category-data/what-are-the-conditions-for-processing/,Important for identifying Article 9(2)(h) health/social care processing.,Article 9(2)(h) supports necessary processing for provision or management of health and social care/services.,Ensuring only necessary processing occurs.,Lawful use of special category health data.,Proper legal condition selection.,Use to distinguish direct-care lawful processing from other bases.,Legal/regulatory
When is consent appropriate? (ICO) (Information Commissioner's Office),N/A,UK,Regulatory guidance,https://ico.org.uk/for-organisations/uk-gdpr-guidance-and-resources/lawful-basis/consent/when-is-consent-appropriate/,Very useful for avoiding a common mistake in NHS data-sharing discussions.,Implied consent for direct care confidentiality is not the same as GDPR consent as a lawful basis.,Misapplied consent models can weaken controls.,Patient expectations and confidentiality.,Correct legal framing for direct-care sharing.,Use to clarify legal misconceptions in Article 1.,Legal/regulatory
Data Protection Impact Assessments (DPIAs) (Information Commissioner's Office),N/A,UK,Regulatory guidance,https://ico.org.uk/for-organisations/uk-gdpr-guidance-and-resources/accountability-and-governance/data-protection-impact-assessments-dpias/,Essential source because cross-provider complete-record access is likely high-risk processing.,DPIAs are a structured way to identify and mitigate data protection risks early.,Risk identification and mitigation before deployment.,Privacy risk assessment.,Accountability and documentation.,Use to argue DPIAs should be mandatory for shared-record expansions.,Legal/regulatory
What is a DPIA? (ICO) (Information Commissioner's Office),N/A,UK,Regulatory guidance,https://ico.org.uk/for-organisations/uk-gdpr-guidance-and-resources/accountability-and-governance/data-protection-impact-assessments-dpias/what-is-a-dpia/,Good concise explanation of DPIA purpose.,"A DPIA helps systematically analyse, identify and minimise data protection risks and demonstrate compliance.",Design-stage risk control.,Privacy-by-design.,Demonstrable accountability.,Use in the methods/governance argument of Article 1.,Legal/regulatory
Data protection by design and by default (ICO) (Information Commissioner's Office),2026,UK,Regulatory guidance,https://ico.org.uk/for-organisations/uk-gdpr-guidance-and-resources/accountability-and-governance/guide-to-accountability-and-governance/data-protection-by-design-and-by-default/,Highly relevant for architecture and system design of cross-provider records.,Organisations must build technical and organisational measures into processing from the outset.,Secure-by-design architecture.,Privacy-by-design and minimisation.,Built-in accountability.,Use to frame design recommendations for secure record sharing.,Legal/regulatory
,,,,,,,,,,,
Source,Year,Jurisdiction,Document Type,URL or DOI,Relevance to Project,Key Point,Security Issue,Privacy Issue,Governance Issue,Article Use,
GP Connect (NHS England Digital),2026,England,NHS service overview,https://digital.nhs.uk/services/gp-connect,Core NHS service for cross-setting access to GP records.,GP Connect allows authorised health and social care workers in multiple settings to access GP records.,Cross-setting authentication and access management.,Viewing GP-held patient information beyond registered practice.,Service scope and authorised-user model.,Use as a real-world example of cross-provider access already in operation.,NHS technical/service
GP Connect: Access Record (NHS England Digital),2026,England,NHS service guidance,https://digital.nhs.uk/services/gp-connect/gp-connect-in-your-organisation/gp-connect-access-record,Directly aligned with your project’s focus on complete/near-complete record access.,GP Connect Access Record makes patient medical information available to appropriate clinicians where needed for direct care.,Access management for clinicians away from registered practice.,Wider exposure of GP record content.,Appropriateness of access and direct-care purpose.,Use to discuss operational benefits and security/privacy trade-offs.,NHS technical/service
GP Connect Access Record: HTML FHIR API (NHS England Digital),2025,England,NHS technical/API documentation,https://digital.nhs.uk/developer/api-catalogue/gp-connect-access-record-html-fhir,Useful for technical architecture and what “read-only” access looks like.,The API provides read-only viewing of a patient’s registered GP practice record inside EPR systems.,"API security, read-only access, system integration.",Section/date-range scoped visibility.,Technical implementation choices shape governance.,Use in the technical background section.,NHS technical/service
GP Connect Access Record: Structured FHIR API (NHS England Digital),2025,England,NHS technical/API documentation,https://digital.nhs.uk/developer/api-catalogue/gp-connect-access-record-structured-fhir,"Important for structured, machine-processable access rather than simple display.",Structured coded data can be imported and processed by consuming systems via Spine.,Expanded attack surface through structured import.,Granular coded data exposure.,Interoperability and data handling responsibility.,Use to distinguish display access from computable access.,NHS technical/service
GP Connect transparency notice (NHS England Digital),2026,England,NHS transparency notice,https://digital.nhs.uk/services/gp-connect/gp-connect-in-your-organisation/transparency-notice,Important for legal transparency and public-facing accountability.,Explains how patient data is accessed and shared through GP Connect for direct care.,Logging and secure sharing.,Transparency about who accesses data and why.,Privacy notice and controller responsibilities.,Use to evidence transparency obligations for cross-provider access.,NHS technical/service
Summary Care Record (SCR) (NHS England Digital),2026,England,NHS service overview,https://digital.nhs.uk/services/summary-care-records-scr,Essential comparator for your project because SCR is narrower than shared records/SPR.,"SCR is a national database of key patient information from GP records, especially medicines and allergies.",National service security and authorised access.,Limited summary rather than full record.,Nationally governed minimum dataset.,Use as the “limited-record” comparator against fuller record models.,NHS technical/service
Summary Care Records (SCR) – information for patients (NHS England Digital),2025,England,NHS patient information,https://digital.nhs.uk/services/summary-care-records-scr/summary-care-records-scr-information-for-patients,"Useful for patient-facing understanding, opt-out, and trust.",SCR is a short summary from GP records used by staff involved in care.,Protection of SCR information.,Patient-facing explanation and opt-out.,Public communication and transparency.,Use when discussing patient trust and acceptable disclosure.,NHS technical/service
Summary Care Record supplementary transparency notice (NHS England Digital),2026,England,NHS transparency notice,https://digital.nhs.uk/services/summary-care-records-scr/summary-care-record-supplementary-transparency-notice,Important for lawful processing and transparency in SCR use.,"Describes how NHS Digital, GPs and others may use SCR information in health and social care.",National access controls and use conditions.,Transparency about use and sharing.,Information-sharing accountability.,Use for legal/governance comparison with shared care records.,NHS technical/service
Summary Care Record – HL7 V3 API (NHS England Digital),2026,England,NHS technical/API documentation,https://digital.nhs.uk/developer/api-catalogue/summary-care-record-hl7-v3,Technical source for how SCR is accessed in systems.,SCR can be accessed via API by authorised staff in direct care settings.,API access control and secure integration.,Summary data visibility outside GP setting.,Technical route into national records service.,Use for technical comparison with GP Connect.,NHS technical/service
National Care Records Service (NCRS) (NHS England Digital),2026,England,NHS service overview,https://digital.nhs.uk/services/national-care-records-service,Relevant because it signals the NHS direction for national patient information access.,"NCRS provides a quick, secure way for health and care workers to access national patient information.",National portal access security.,Broader national record visibility.,National service governance.,Use as an example of the NHS moving toward broader record access services.,NHS technical/service
Interoperability (NHS England),N/A,England,NHS standards/guidance,https://www.england.nhs.uk/long-read/interoperability/,Strong source for standards-based information exchange.,FHIR is the NHS’s key standard for passing healthcare data between systems; sensitive APIs require security patterns.,API security patterns and secure exchange.,Data sharing across systems.,Standards-led interoperability governance.,Use to connect record sharing with technical standards and controls.,NHS technical/service
Data Security and Protection Toolkit (DSPT) (dsptoolkit.nhs.uk),N/A,England,NHS compliance/self-assessment tool,https://www.dsptoolkit.nhs.uk/,Core organisational assurance mechanism across health and care.,DSPT measures organisations against the National Data Guardian’s 10 data security standards.,Baseline cyber and information security maturity.,Protection of health/care data.,Organisational assurance and compliance.,Use as an operational governance control in Article 1.,NHS technical/service
Digital clinical safety assurance (NHS England),N/A,England,NHS assurance guidance,https://www.england.nhs.uk/long-read/digital-clinical-safety-assurance/,Important because safety risk and information risk meet in shared-record systems.,DCB0129 is for manufacturers; DCB0160 is for deploying organisations.,Unsafe system behaviour causing patient harm.,Inappropriate data display/use can affect privacy and safety.,Safety assurance responsibilities by actor.,Use to argue that record-access design is a safety issue as well as a privacy issue.,NHS technical/service
DCB0129: Clinical Risk Management: its Application in the Manufacture of Health IT Systems (NHS Standards Directory),N/A,England,NHS information standard,https://standards.nhs.uk/published-standards/clinical-risk-management-its-application-in-the-manufacture-of-health-it-systems,Essential standard for suppliers building shared-record technologies.,Manufacturers must evidence the clinical safety of health IT products.,Safety-by-design in software manufacture.,Unsafe data presentation or omission affecting confidentiality or care.,Manufacturer accountability.,Use in any supplier/system-design discussion.,NHS technical/service
DCB0160: Clinical Risk Management: its Application in the Deployment and Use of Health IT Systems (NHS Standards Directory),N/A,England,NHS information standard,https://standards.nhs.uk/published-standards/clinical-risk-management-its-application-in-the-deployment-and-use-of-health-it-systems,Essential standard for NHS organisations deploying shared-record systems.,Health and care organisations must assure the clinical safety of deployed health IT systems.,"Deployment risk, misconfiguration, workflow hazards.",Privacy impacts from unsafe deployment choices.,Deploying-organisation accountability.,Use to show local NHS organisations cannot treat record access as only a vendor issue.,NHS technical/service
"Li E, Clarke J, Ashrafian H, Darzi A, Neves AL. The Impact of Electronic Health Record Interoperability on Safety and Quality of Care in High-Income Countries: Systematic Review (JMIR)",2022,International,Peer-reviewed systematic review,https://doi.org/10.2196/38144,Directly relevant to the benefits side of your argument.,"Interoperability can improve safety and quality, but benefits depend on implementation and context.",Poor interoperability can create safety risks and incomplete information flows.,Broader sharing increases governance demands.,Need for robust implementation governance.,Use to balance benefit claims against risk claims.,Academic health informatics
"Torab-Miandoab A, Samad-Soltani T, Jodati A, Rezaei-Hachesu P. Interoperability of heterogeneous health information systems: a systematic literature review (Springer)",2023,International,Peer-reviewed systematic review,https://doi.org/10.1186/s12911-023-02115-5,Strong source on interoperability challenges and why records remain fragmented.,Lack of interoperability reduces care quality and wastes resources.,Fragmented systems and inconsistent exchange.,Disjointed records can undermine appropriate access.,Standards and governance needed for interoperability.,Use to justify why shared records emerge as a policy response.,Academic health informatics
"Häyrinen K, Saranto K, Nykänen P. Definition, structure, content, use and impacts of electronic health records: a review of the research literature (Springer)",2008,International,Peer-reviewed review article,https://doi.org/10.1016/j.ijmedinf.2007.09.001,Still foundational for defining EHR scope and implications.,"EHRs are broader than isolated clinical notes and have structural, content and use implications.",Information integrity and availability.,Scope of personal health information.,EHR conceptual governance.,Use for definitional groundwork.,Academic health informatics
"Papoutsi C, Reed JE, Marston C, Lewis R, Majeed A, Bell D. Patient and public views about the security and privacy of Electronic Health Records (EHRs) in the UK (Springer)",2015,UK,Peer-reviewed study,https://doi.org/10.1186/s12911-015-0202-2,One of the most directly relevant UK trust/privacy papers.,Many respondents worried about the security of national EHRs and doubted the NHS could guarantee safety.,Perceived insecurity of national/shared records.,Public concern about misuse and breaches.,Trust deficit as governance problem.,Use in your patient trust section and UK context.,Academic health informatics
"Shen N, Bernier T, Sequeira L, et al. Understanding the patient privacy perspective on health information exchange: a systematic review (PubMed)",2019,International,Peer-reviewed systematic review,https://pubmed.ncbi.nlm.nih.gov/30914173/,Excellent synthesis of what shapes patient attitudes to HIE.,"Patient privacy perspectives depend on trust, control, understanding, and perceived benefit.",Concerns about inappropriate sharing and breaches.,Perceived loss of privacy and control.,Trust and transparency mechanisms matter.,Use to build the conceptual model of patient trust in Article 1.,Academic health informatics
"Esmaeilzadeh P, Sambasivan M. Patients’ support for health information exchange: a literature review and classification of key factors (Springer)",2017,International,Peer-reviewed literature review,https://doi.org/10.1186/s12911-017-0436-2,Good source on determinants of patient support for HIE.,"Patient support depends on privacy, security, trust, perceived usefulness and control.",Confidence in exchange security.,Support linked to privacy assurances.,Governance features influence acceptance.,Use to translate trust into design/governance requirements.,Academic health informatics
"Busch-Casler J, Jalalzai M, Benis A, et al. Trust and Health Information Exchanges: Qualitative Analysis of the Intent to Share Personal Health Information (JMIR)",2023,International,Peer-reviewed qualitative study,https://www.jmir.org/2023/1/e41635,Useful for the trust and communication angle.,Patients need to trust that HIE privacy policies and security measures are sufficient.,Confidence in security controls.,Privacy policy clarity and perceived risk.,Transparency and communication.,Use to support a trust-centred governance argument.,Academic health informatics
"Kisekka V, Giboney JS, Davis FD. The Effectiveness of Health Care Information Technologies: Evaluation of Trust, Security Beliefs, and Privacy as Determinants of Health Care Outcomes (PubMed)",2018,International,Peer-reviewed article,https://pubmed.ncbi.nlm.nih.gov/29643052/,Strong source linking privacy/security beliefs to behaviour and outcomes.,"Privacy concerns reduce positive attitudes toward HIE and record access, while trust improves perceived care quality.",Security belief affects adoption and use.,Privacy concern affects willingness to use/access.,Governance influences confidence in systems.,Use to connect governance quality with user and patient outcomes.,Academic health informatics
"de Carvalho Junior MA, Bandiera-Paiva P, et al. Health Information System Role-Based Access Control Current Security Trends and Challenges (PubMed)",2018,International,Peer-reviewed review article,https://doi.org/10.1155/2018/6510249,Directly relevant to role-based access across multiple provider settings.,RBAC remains central in health information systems but has limitations and implementation challenges.,Over-privileged or poorly designed role access.,Excessive access to sensitive records.,Need for careful role engineering and review.,Use to frame RBAC as necessary but insufficient for complete-record access.,Cybersecurity/privacy/access-control
"Dimitropoulos L, Rizk S. A state-based approach to privacy and security for interoperable health information exchange (PubMed)",2009,International,Peer-reviewed policy article,https://doi.org/10.1377/hlthaff.28.2.428,Still highly relevant for HIE governance design.,"Interoperable exchange needs coordinated privacy and security controls, not just technical connectivity.",Cross-jurisdiction and multi-actor security consistency.,Consistent privacy protections across exchange.,Policy harmonisation and governance alignment.,Use for conceptualising governance across providers.,Cybersecurity/privacy/access-control
"Fernández-Alemán JL, Señor IC, Lozoya PÁO, Toval A. Security and privacy in electronic health records: a systematic literature review (Springer)",2013,International,Peer-reviewed systematic review,https://doi.org/10.1016/j.jbi.2012.12.003,Classic review on EHR security/privacy requirements.,EHR systems must reconcile privacy protection with availability and usability.,"Confidentiality, integrity, availability challenges.",Protection of sensitive health information.,Security/privacy requirements engineering.,Use as a foundational literature review.,Cybersecurity/privacy/access-control
"Tertulino R, Antunes N, Morais H. Privacy in electronic health records: a systematic mapping study (Springer)",2024,International,Peer-reviewed systematic mapping study,https://doi.org/10.1007/s10389-022-01795-z,Strong recent overview of EHR privacy research gaps.,Major challenge is protecting privacy without undermining performance and interoperability.,Tension between protection and usability/interoperability.,Broad EHR privacy risks.,Research and governance gaps remain.,Use for the contemporary literature gap section.,Cybersecurity/privacy/access-control
"Kruse CS, Smith B, Vanderlinden H, Nealand A. Security Techniques for the Electronic Health Records (Springer)",2017,International,Peer-reviewed review article,https://doi.org/10.1007/s10916-017-0778-4,Helpful review of practical security controls in EHR environments.,"Privacy and security are major barriers to EHR adoption, and layered security techniques are needed.","Authentication, encryption, audit and access control.",Protection of patient information.,Organisational security readiness.,Use to summarise common control families.,Cybersecurity/privacy/access-control
"Menon AK, Jiang X, Kim J, et al. Detecting Inappropriate Access to Electronic Health Records Using Collaborative Filtering (PMC)",2014,International,Peer-reviewed article,https://pmc.ncbi.nlm.nih.gov/articles/PMC3967851/,Excellent insider-threat and auditability source.,Many EHR environments rely on broad access plus ex post audit; machine methods can improve detection of inappropriate access.,Insider misuse and anomalous access.,Privacy breach detection after access.,Audit-governance and monitoring.,Use for the insider threat and auditability section.,Cybersecurity/privacy/access-control
"Chen Y, Nyemba S, Malin B. Auditing Medical Records Accesses via Healthcare Interaction Networks (PMC)",2012,International,Peer-reviewed article,https://pmc.ncbi.nlm.nih.gov/articles/PMC3540438/,Strong source on audit logs and detection logic.,Auditing authenticated insiders is critical for detecting inappropriate medical-record access.,Insider threat detection through audit trails.,Inappropriate access to patient records.,Audit governance and review processes.,Use to support recommendations on access-log review.,Cybersecurity/privacy/access-control
"Hedda M, Bellika JG, Hartvigsen G. Evaluating the Effectiveness of Auditing Rules for Electronic Health Records (PMC)",2018,International,Peer-reviewed article,https://pmc.ncbi.nlm.nih.gov/articles/PMC5977720/,Useful for showing that not all audit rules are equally effective.,High-risk auditing rules can be evaluated and ranked by potential risk.,Weak audit rules miss misuse.,Delayed or missed privacy breach detection.,Risk-based audit governance.,"Use to argue for smarter, risk-based audit controls.",Cybersecurity/privacy/access-control
"Rule A, Chiang MF, Hribar MR. Using electronic health record audit logs to study clinical activity (PMC)",2019,International,Peer-reviewed review article,https://pmc.ncbi.nlm.nih.gov/articles/PMC7025338/,Good methodological source on what audit logs can and cannot reveal.,Audit logs are valuable but require careful interpretation and standardisation.,Inconsistent or incomplete logging.,Monitoring of access behaviour.,Audit data governance and analytic maturity.,Use to temper claims about auditability.,Cybersecurity/privacy/access-control
"Tierney WM, Alpert SA, Byrket A, et al. Provider responses to patients controlling access to their electronic health records: a prospective cohort study in primary care (PubMed)",2015,International,Peer-reviewed study,https://pubmed.ncbi.nlm.nih.gov/25480720/,One of the most useful empirical sources on break-glass behaviour.,Providers used “break the glass” access when data redactions obstructed care.,Emergency override access.,Patient-controlled restrictions versus care needs.,Override policy and review requirements.,Use to discuss break-glass access as necessary but governance-heavy.,Cybersecurity/privacy/access-control
"de Oliveira MT, Carrasco RA, et al. A break-glass protocol based on ciphertext-policy attribute-based encryption to access medical records in the cloud (Springer)",2020,International,Peer-reviewed article,https://doi.org/10.1007/s12243-020-00759-2,Strong technical source on controlled emergency access.,Break-glass can be engineered with cryptographic controls so emergency teams access only relevant data.,Emergency access control design.,Least-necessary disclosure in emergencies.,Policy-coded override governance.,Use for a future-design recommendation section.,Cybersecurity/privacy/access-control
